Date,Symbol,Trader,Channel,isOpen,Asset,Type,Price,Qty,Price-actual,Prices,Prices-actual,Avged,PnL,PnL-actual,PnL$,PnL$-actual,PnL-max,PnL$-max,STC-Qty,STC-Price,STC-Price-actual,STC-Prices,STC-Prices-actual,STC-Date,TrailStats,SL,STC-xQty
2023-07-10 09:34:11.012000,AAPL_071423P187.5,enhancedmarket,TradeProElite,0,option,BTO,0.9,20,0.95,,,,34.22,31.5,615.0,598.625,41.3333333333333,706.8,19.0,1.272,1.254,1.1/1.22,1.1/1.19,2023-07-10 09:47:30.516000,,,
2023-07-10 10:06:53.275000,BABA_071423C92,enhancedmarket,TradeProElite,0,option,BTO,2.05,2,2.05,,,,-43.9,-45.4,-179.99,-186.14,-43.9024390243902,-180.0,2.0,1.15,1.12,1.15,1.12,2023-07-11 14:04:19.801000,,,
2023-07-10 18:45:08.691000,SPXW_071023P4400,enhancedmarket,TradeProElite,0,option,BTO,2.0,10,2.05,,,,-75.0,-85.4,-1500.0,-1750.7,-75.0,-1500.0,10.0,0.5,0.3,0.5,0.3,2023-07-10 19:53:15.614000,,,
2023-07-11 13:31:57.787000,COIN_071423C85,enhancedmarket,TradeProElite,0,option,BTO,1.85,20,2.09,,,,22.03,4.9,815.11,204.82,56.7567567567567,2100.0,20.0,2.2575,2.193,2.15/2.4/2.6/2.9,2.08/2.31/2.62/2.8,2023-07-11 13:39:56.425000,,,
2023-07-11 19:22:02.033000,NFLX_071423C445,enhancedmarket,TradeProElite,0,option,BTO,3.5,8,3.5,,,,14.29,14.3,400.12,400.4,14.2857142857143,400.0,8.0,4.0,4.0,4,4,2023-07-11 19:48:25.190000,,,
2023-07-12 13:34:55.467000,AMD_071423C115,enhancedmarket,TradeProElite,0,option,BTO,1.0,10,1.0,,,,38.6,31.6,386.0,316.0,70.0,700.0,10.0,1.386,1.316,1.3/1.53/1.7,1.21/1.52/1.65,2023-07-12 14:10:52.294000,,,
2023-07-12 19:59:08.249000,NFLX_071423C450,enhancedmarket,TradeProElite,0,option,BTO,2.85,2,2.79,,,,43.86,34.4,250.002,191.952,43.859649122807,250.0,2.0,4.1,3.75,4.1,3.75,2023-07-13 13:32:04.178000,,,
2023-07-13 19:03:16.616000,AMD_071423C116,enhancedmarket,TradeProElite,0,option,BTO,0.7,20,0.73,,,,29.21,21.6,408.94,315.36,40.0,560.0,20.0,0.9045,0.888,0.87/0.93/0.98/0.9,0.85/0.93/0.95/0.88,2023-07-13 19:35:04.161000,,,
2023-07-14 13:33:36.311000,AAPL_071423P190,enhancedmarket,TradeProElite,0,option,BTO,0.5,20,0.57,,,,-66.0,-71.9,-660.0,-819.66,-66.0,-660.0,20.0,0.17,0.16,0.17,0.16,2023-07-14 14:15:31.726000,,,
2023-07-14 13:34:31.372000,RIVN_071423P25,enhancedmarket,TradeProElite,0,option,BTO,0.28,100,0.29,,,,58.93,43.1,1650.04,1249.9,89.2857142857143,2500.0,100.0,0.445,0.415,0.4/0.53/0.45,0.37/0.51/0.41,2023-07-14 14:53:14.262000,,,
2023-07-17 13:30:34.430000,AAPL_072123C192.5,enhancedmarket,TradeProElite,0,option,BTO,1.48,20,1.65,,,,33.56,19.0,1043.0448,658.35,53.3783783783784,1659.0,21.0,1.97666666666667,1.96333333333333,1.85/2.04/2.27/2.0,1.86/1.97/2.24/2.02,2023-07-17 13:40:11.482000,,,
2023-07-17 19:32:28.754000,COIN_072123C110,enhancedmarket,TradeProElite,0,option,BTO,3.25,5,3.25,,,,20.0,12.3,325.0,199.875,20.0,325.0,5.0,3.9,3.65,3.9,3.65,2023-07-18 14:02:39.019000,,,
2023-07-18 18:05:12.543000,AAPL_072123C195,enhancedmarket,TradeProElite,0,option,BTO,0.7,20,0.71,,,,11.43,8.5,160.02,120.7,11.4285714285714,160.0,20.0,0.78,0.77,0.78,0.77,2023-07-18 18:11:44.208000,,,
2023-07-19 13:30:36.086000,GOOGL_072123C125,enhancedmarket,TradeProElite,0,option,BTO,1.17,20,1.2,,,,1.28,-2.7,29.952,-64.8,1.28205128205129,30.0000000000003,20.0,1.185,1.1675,1.24/1.02,1.22/1.01,2023-07-19 13:47:03.094000,,,
2023-07-19 13:33:11.789000,RIVN_072123C26,enhancedmarket,TradeProElite,0,option,BTO,0.72,30,0.75,,,,17.13,9.8,370.008,220.5,19.4444444444444,420.0,30.0,0.843333333333333,0.823333333333333,0.86/0.81,0.85/0.77,2023-07-19 13:55:47.785000,,,
2023-07-19 13:40:44.729000,AMZN_072123C135,enhancedmarket,TradeProElite,0,option,BTO,1.04,20,1.38,,,,55.05,16.2,1145.04,447.12,68.2692307692308,1420.0,20.0,1.6125,1.603,1.58/1.75/1.65,1.58/1.7/1.63,2023-07-19 13:51:35.161000,,,
