Date,Symbol,Trader,Channel,isOpen,Asset,Type,Price,Qty,Price-actual,Prices,Prices-actual,Avged,PnL,PnL-actual,PnL$,PnL$-actual,STC-Qty,STC-Price,STC-Price-actual,STC-Prices,STC-Prices-actual,STC-Date,TrailStats,SL
2023-06-01 13:40:22.291000,TSM_060223C100,demon2677,demon,1,option,BTO,1.0,1,1.04,,,,,,,,,,,,,,,
2023-06-05 13:33:13.146000,AFRM_060923C16.5,demon2677,demon,1,option,BTO,0.6,1,0.61,,,,,,,,,,,,,,,
2023-06-05 14:42:27.587000,UBER_060923C41,demon2677,demon,1,option,BTO,0.4,2,0.41,0.41/0.38,0.42/0.4,1.0,,,,,,,,,,,,
2023-06-05 17:55:24.388000,FCX_060923C38,demon2677,demon,1,option,BTO,0.4,1,0.39,,,,,,,,,,,,,,,
2023-06-06 13:41:03.187000,SHOP_060923C65,demon2677,demon,1,option,BTO,0.53,1,0.55,,,,,,,,,,,,,,,
2023-06-07 13:46:38.130000,SOFI_060923C8,demon2677,demon,1,option,BTO,0.22,1,0.24,,,,,,,,,,,,,,,
2023-06-07 13:51:44.405000,PLUG_060923C9.5,demon2677,demon,1,option,BTO,0.29,1,0.31,,,,,,,,,,,,,,,
2023-06-07 16:08:07.088000,MVIS_060923C8,demon2677,demon,1,option,BTO,0.25,1,0.25,,,,,,,,,,,,,,,
2023-06-08 14:01:49.664000,UAL_060923C50,demon2677,demon,1,option,BTO,0.42,1,0.45,,,,,,,,,,,,,,,
2023-06-09 13:46:03.743000,NIO_060923C8.5,demon2677,demon,1,option,BTO,0.1,1,0.12,,,,,,,,,,,,,,,
2023-06-09 13:51:36.153000,PLTR_060923C16,demon2677,demon,1,option,BTO,0.13,1,0.13,,,,,,,,,,,,,,,
2023-06-12 13:40:13.736000,NCLH_060923C18,demon2677,demon,1,option,BTO,0.4,1,,,,,,,,,,,,,,,,
2023-06-13 13:45:53.735000,CLF_061623C17,demon2677,demon,1,option,BTO,0.2,1,0.21,,,,,,,,,,,,,,,
2023-06-13 15:43:49.677000,PLTR_061623C16,demon2677,demon,1,option,BTO,0.55,1,0.56,,,,,,,,,,,,,,,
2023-06-14 13:39:26.692000,PYPL_061623C65,demon2677,demon,1,option,BTO,0.65,1,0.68,,,,,,,,,,,,,,,
2023-06-14 14:21:06.034000,INTC_061623C34.5,demon2677,demon,1,option,BTO,0.49,1,0.5,,,,,,,,,,,,,,,
